Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2012-09-30, Bengals, 138, 34, 244, 31, 20, 6, 50, 1, 1, 20, 11, 2, 1, 1, 1879, 27, Jaguars, 69, 18, 143, 34, 23, 3, 37, 1, 1, 17, 11, 2, 1, 0, 1721, 10
2012-09-30, Saints, 45, 19, 429, 54, 35, 10, 72, 0, 0, 25, 17, 9, 1, 1, 1828, 27, Packers, 102, 25, 319, 41, 31, 7, 43, 1, 1, 30, 8, 4, 1, 1, 1772, 28
2012-09-30, Vikings, 127, 28, 100, 26, 16, 5, 87, 0, 0, 15, 12, 3, 0, 0, 1758, 20, Lions, 55, 20, 286, 51, 30, 5, 72, 1, 0, 23, 16, 6, 3, 1, 1842, 13
2012-09-30, Titans, 158, 29, 167, 27, 17, 7, 73, 1, 2, 17, 12, 4, 1, 1, 1654, 14, Texans, 95, 31, 202, 28, 20, 1, 3, 0, 0, 16, 14, 6, 1, 1, 1946, 38
2012-09-30, Giants, 57, 19, 309, 42, 24, 7, 55, 0, 1, 20, 10, 2, 1, 1, 1599, 17, Eagles, 191, 36, 231, 30, 19, 5, 49, 0, 0, 22, 12, 4, 0, 0, 2001, 19
2012-09-30, Patriots, 247, 40, 333, 36, 22, 1, 10, 2, 0, 33, 11, 4, 0, 0, 1847, 52, Bills, 98, 27, 340, 39, 22, 3, 17, 2, 4, 19, 15, 8, 0, 0, 1753, 28
2012-09-30, Redskins, 153, 31, 321, 35, 26, 8, 73, 0, 0, 27, 11, 2, 1, 1, 1939, 24, Buccaneers, 80, 18, 293, 39, 24, 10, 107, 0, 1, 16, 12, 3, 0, 0, 1661, 22
2012-09-30, Seahawks, 179, 34, 140, 25, 17, 5, 55, 0, 3, 19, 9, 2, 0, 0, 1792, 13, Rams, 75, 27, 211, 31, 17, 6, 37, 0, 1, 15, 13, 5, 1, 1, 1808, 19
2012-09-30, Raiders, 56, 16, 181, 34, 19, 5, 41, 0, 0, 12, 12, 1, 2, 1, 1355, 6, Broncos, 165, 38, 338, 39, 30, 4, 30, 1, 0, 26, 16, 10, 2, 1, 2245, 37
2012-09-30, Dolphins, 86, 29, 394, 41, 26, 4, 40, 2, 2, 21, 16, 6, 1, 1, 2100, 21, Cardinals, 28, 15, 269, 48, 29, 6, 62, 0, 2, 19, 16, 4, 2, 2, 1891, 24
2012-09-30, 49ers, 247, 44, 134, 22, 12, 8, 67, 0, 0, 26, 12, 4, 1, 1, 2216, 34, Jets, 45, 17, 100, 30, 14, 4, 30, 3, 1, 9, 13, 2, 0, 0, 1384, 0
2012-09-30, Chargers, 104, 34, 189, 23, 18, 7, 75, 0, 1, 19, 12, 3, 0, 0, 2032, 37, Chiefs, 115, 22, 234, 42, 24, 9, 80, 3, 3, 25, 10, 4, 0, 0, 1568, 20
2012-10-01, Bears, 93, 28, 267, 24, 18, 4, 25, 1, 0, 18, 12, 7, 0, 0, 1850, 34, Cowboys, 41, 14, 389, 53, 40, 2, 10, 0, 5, 26, 9, 3, 1, 1, 1750, 18
2012-10-04, Cardinals, 45, 17, 237, 50, 28, 5, 35, 1, 0, 20, 19, 7, 2, 0, 2062, 3, Rams, 111, 32, 131, 21, 7, 7, 60, 0, 1, 12, 14, 4, 0, 0, 1538, 17
2012-10-07, Eagles, 78, 23, 168, 30, 20, 5, 35, 2, 0, 19, 10, 4, 2, 2, 1589, 14, Steelers, 123, 30, 220, 38, 22, 9, 106, 0, 0, 22, 14, 6, 1, 0, 2011, 16
2012-10-07, Chargers, 117, 18, 310, 42, 27, 7, 56, 1, 1, 27, 12, 4, 0, 0, 1834, 24, Saints, 53, 21, 351, 45, 29, 10, 99, 0, 1, 21, 16, 9, 1, 0, 1766, 31
2012-10-07, Dolphins, 68, 35, 211, 26, 17, 2, 10, 2, 0, 15, 13, 4, 1, 0, 1729, 17, Bengals, 80, 19, 218, 43, 26, 5, 46, 1, 2, 18, 14, 2, 1, 1, 1871, 13
2012-10-07, Bears, 214, 33, 287, 39, 23, 12, 80, 0, 1, 26, 17, 10, 1, 1, 2160, 41, Jaguars, 60, 17, 129, 33, 17, 6, 49, 1, 2, 10, 13, 5, 0, 0, 1440, 3
2012-10-07, Bills, 89, 19, 115, 26, 16, 5, 30, 1, 1, 10, 10, 2, 0, 0, 1423, 3, 49ers, 311, 38, 310, 25, 19, 7, 53, 1, 0, 29, 11, 7, 1, 1, 2177, 45
2012-10-07, Seahawks, 98, 35, 212, 25, 19, 7, 65, 1, 2, 17, 14, 7, 1, 0, 2146, 16, Panthers, 82, 19, 108, 29, 12, 3, 25, 1, 0, 13, 11, 2, 1, 0, 1454, 12
2012-10-07, Browns, 84, 19, 291, 35, 22, 10, 91, 1, 2, 15, 12, 3, 2, 2, 1476, 27, Giants, 243, 34, 259, 37, 25, 3, 25, 1, 1, 30, 11, 6, 0, 0, 2124, 41
2012-10-07, Ravens, 133, 24, 165, 27, 13, 5, 33, 1, 1, 15, 11, 3, 0, 0, 1550, 9, Chiefs, 214, 51, 124, 17, 11, 8, 60, 2, 2, 19, 13, 6, 0, 0, 2050, 6
2012-10-07, Broncos, 70, 20, 324, 44, 31, 4, 21, 3, 0, 22, 13, 7, 2, 1, 1451, 21, Patriots, 251, 54, 193, 31, 23, 6, 59, 1, 0, 35, 17, 11, 1, 0, 2149, 31
2012-10-07, Titans, 52, 19, 215, 48, 29, 10, 75, 1, 1, 18, 17, 8, 2, 1, 1614, 7, Vikings, 175, 31, 258, 35, 25, 5, 60, 0, 2, 25, 11, 3, 0, 0, 1986, 30
2012-10-07, Falcons, 83, 28, 338, 52, 34, 2, 13, 1, 1, 28, 17, 9, 0, 0, 2221, 24, Redskins, 129, 21, 187, 24, 15, 4, 20, 0, 2, 12, 9, 1, 0, 0, 1379, 17
